site,page_content,device,run,tested_url,fetch_time_utc,lighthouse_version,score,fcp_ms,lcp_ms,tbt_ms,cls,speed_index_ms
Docs7,Collapsible content,desktop,1,https://upstash-context7.docs7.io/docs/docs7/components/accordions,2026-09-17T09:06:33.556Z,13.4.1,94,321.010024516517,561.020049033034,191.99832924724717,0.0003802657627045801,460.32957545891156
Docs7,Collapsible content,desktop,2,https://upstash-context7.docs7.io/docs/docs7/components/accordions,2026-09-17T09:09:49.587Z,13.4.1,96,321.01050613741813,601.0227632977393,155.99912448854843,0.0003802657627045801,467.79507089121194
Docs7,Collapsible content,desktop,3,https://upstash-context7.docs7.io/docs/docs7/components/accordions,2026-09-17T09:10:44.845Z,13.4.1,98,321.0149397617273,661.0361044241743,114.4975100397121,0.0003802657627045801,600.7540755087934
Docs7,Collapsible content,desktop,4,https://upstash-context7.docs7.io/docs/docs7/components/accordions,2026-09-17T10:45:47.593Z,13.4.1,98,321.00703719937064,661.0170065651457,131.99824070015734,0.0003802657627045801,470.6762422430773
Docs7,Collapsible content,desktop,5,https://upstash-context7.docs7.io/docs/docs7/components/accordions,2026-09-17T10:52:38.588Z,13.4.1,98,321.0114701638904,661.027719562735,119.9990441530091,0.0003802657627045801,577.6315076440767
Docs7,Collapsible content,desktop,6,https://upstash-context7.docs7.io/docs/docs7/components/accordions,2026-09-17T10:56:01.510Z,13.4.1,96,321.0106265469333,601.0230241850221,150.99911445442228,0.001589500170567331,507.1909425459062
Docs7,Collapsible content,desktop,7,https://upstash-context7.docs7.io/docs/docs7/components/accordions,2026-09-17T11:01:07.788Z,13.4.1,93,321.01050668135815,561.0210133627163,210.99824888644025,0.0003802657627045801,436.9522681234477
Docs7,Collapsible content,desktop,8,https://upstash-context7.docs7.io/docs/docs7/components/accordions,2026-09-17T11:04:26.016Z,13.4.1,95,321.01349476027235,534.0247403938326,189.99775087328794,0.0003802657627045801,490.0395410467503
Docs7,Collapsible content,desktop,9,https://upstash-context7.docs7.io/docs/docs7/components/accordions,2026-09-17T11:09:39.927Z,13.4.1,89,321.00954389340586,561.0190877868118,277.5,0.0003802657627045801,474.66476939369034
Docs7,Collapsible content,desktop,10,https://upstash-context7.docs7.io/docs/docs7/components/accordions,2026-09-17T11:13:04.487Z,13.4.1,100,321.00800044414655,561.0160008882931,46.5,0.0003802657627045801,424.14488136106934
Mintlify,Collapsible content,desktop,1,https://context7.mintlify.dev/docs/docs7/components/accordions,2026-09-17T09:06:31.821Z,13.4.1,96,461.7029032783621,1022.0241308071791,127,0.017284611066193556,835.2819712868259
Mintlify,Collapsible content,desktop,2,https://context7.mintlify.dev/docs/docs7/components/accordions,2026-09-17T09:09:37.944Z,13.4.1,89,480.1717278929556,862.019326724437,269.4980177718529,0.01700899932937044,934.5307762650725
Mintlify,Collapsible content,desktop,3,https://context7.mintlify.dev/docs/docs7/components/accordions,2026-09-17T09:10:38.541Z,13.4.1,95,489.5615864132942,1405.5259920476385,102.99999999999977,0.01735457500978188,960.3081824477608
Mintlify,Collapsible content,desktop,4,https://context7.mintlify.dev/docs/docs7/components/accordions,2026-09-17T10:45:46.669Z,13.4.1,97,469.7831146331388,1062.0603546802272,101.50000000000023,0.01700899932937044,945.9350541031065
Mintlify,Collapsible content,desktop,5,https://context7.mintlify.dev/docs/docs7/components/accordions,2026-09-17T10:52:37.261Z,13.4.1,98,460.70479242504837,962.0343056918907,98.99766097555289,0.017397964473645333,797.8062603626038
Mintlify,Collapsible content,desktop,6,https://context7.mintlify.dev/docs/docs7/components/accordions,2026-09-17T10:55:57.994Z,13.4.1,98,464.8992263009161,942.0325704867853,90.00000000000023,0.01700899932937044,786.8128619890108
Mintlify,Collapsible content,desktop,7,https://context7.mintlify.dev/docs/docs7/components/accordions,2026-09-17T11:01:03.920Z,13.4.1,84,489.70885985631537,1022.0242286228363,328.4979379895458,0.01700899932937044,933.8525910518722
Mintlify,Collapsible content,desktop,8,https://context7.mintlify.dev/docs/docs7/components/accordions,2026-09-17T11:04:24.722Z,13.4.1,98,459.3079215171417,1102.0262055138783,68.00000000000023,0.01909459697013922,861.0972188652318
Mintlify,Collapsible content,desktop,9,https://context7.mintlify.dev/docs/docs7/components/accordions,2026-09-17T11:09:37.713Z,13.4.1,90,477.71655868759547,822,0,0,6117.050378756617
Mintlify,Collapsible content,desktop,10,https://context7.mintlify.dev/docs/docs7/components/accordions,2026-09-17T11:13:04.702Z,13.4.1,87,466.8304208828795,1022.023279483704,286.49999999999966,0.01700899932937044,976.4422793429426
Docs7,Collapsible content,mobile,1,https://upstash-context7.docs7.io/docs/docs7/components/accordions,2026-09-17T09:06:28.222Z,13.4.1,90,1201.0100964008607,2714.026923735628,299.5,0,1881.4869730724017
Docs7,Collapsible content,mobile,2,https://upstash-context7.docs7.io/docs/docs7/components/accordions,2026-09-17T09:09:35.442Z,13.4.1,92,1201.0075188468404,3151.0238096816606,135.5,0,1716.53351685986
Docs7,Collapsible content,mobile,3,https://upstash-context7.docs7.io/docs/docs7/components/accordions,2026-09-17T09:10:37.403Z,13.4.1,68,2107.0160009129677,7270.680141566686,198,0,4806.104084802115
Docs7,Collapsible content,mobile,4,https://upstash-context7.docs7.io/docs/docs7/components/accordions,2026-09-17T10:45:45.586Z,13.4.1,90,1202.0075195487443,3152.0238119043565,195,0,1895.114155899188
Docs7,Collapsible content,mobile,5,https://upstash-context7.docs7.io/docs/docs7/components/accordions,2026-09-17T10:52:32.264Z,13.4.1,90,1201.01098745969,3001.0329623790703,248,0,1710.6931755289038
